expense_id,expense_date,channel,campaign,expense_category,amount,leads_generated,impressions,clicks
exp_f5da5073335b,2026-01-10,Meta Ads,Evergreen Wealth,Advertising,7332.92,49,4506,155
exp_30116a9011ea,2026-01-23,Meta Ads,Investor Calculator,Advertising,6542.42,53,4634,251
exp_81c7a04a6899,2026-01-02,Meta Ads,Mentorship VSL,Advertising,5239.67,53,10821,320
exp_8859f7fab384,2026-01-19,Google Ads,High Intent Search,Advertising,5080.32,21,1960,104
exp_7a5a12529a87,2026-01-02,Google Ads,Real Estate Mentorship,Advertising,3948.05,20,3205,131
exp_c72a129ac767,2026-01-26,Organic,Organic Content,Creative Production,1484.43,68,10865,336
exp_7acc5ca94d10,2026-01-08,Referral,Partner Referral,Contractor,675.12,24,3994,145
exp_ad08e0153c57,2026-01-12,Referral,Client Referral,Contractor,431.81,23,4813,151
exp_2c9ae584a893,2026-01-18,Webinar,5-Day Investor Challenge,Creative Production,3193.75,39,6677,195
exp_9dd56478af66,2026-01-18,Webinar,VIP Webinar,Creative Production,4194.64,40,4919,207
exp_868e10542dcf,2026-01-03,Email Campaign,Database Reactivation,Software,707.1,21,2271,119
exp_b778b04de354,2026-01-14,Direct,Direct Traffic,Software,427.23,23,2535,82
exp_f114615931a6,2026-02-17,Meta Ads,Evergreen Wealth,Advertising,7395.45,39,6730,286
exp_0816e36ff82d,2026-02-04,Meta Ads,Investor Calculator,Advertising,7601.36,39,8139,249
exp_65b88832bc79,2026-02-16,Meta Ads,Mentorship VSL,Advertising,4860.52,36,3361,115
exp_592d2024fdda,2026-02-12,Google Ads,High Intent Search,Advertising,2826.88,20,4845,117
exp_716a8e0135e6,2026-02-16,Google Ads,Real Estate Mentorship,Advertising,3842.41,19,5179,129
exp_4149365522cf,2026-02-22,Organic,Organic Content,Creative Production,1471.7,62,12682,401
exp_b173e4df5b8f,2026-02-14,Referral,Partner Referral,Contractor,1222.35,18,5102,125
exp_7c67949460ea,2026-02-01,Referral,Client Referral,Contractor,924.19,15,1604,46
exp_9bc1b41123aa,2026-02-18,Webinar,5-Day Investor Challenge,Creative Production,3192.58,40,5658,241
exp_99cb427a63c8,2026-02-08,Webinar,VIP Webinar,Creative Production,3522.54,41,8745,278
exp_4adcb762fe41,2026-02-17,Email Campaign,Database Reactivation,Software,503.39,17,1153,52
exp_268755a6d558,2026-02-23,Direct,Direct Traffic,Software,290.74,14,2908,104
exp_6f1bbc51fe1c,2026-03-04,Meta Ads,Evergreen Wealth,Advertising,7548.89,46,11648,333
exp_3fc9498c5e3e,2026-03-19,Meta Ads,Investor Calculator,Advertising,4207.45,48,9190,253
exp_4c33c15f1c1d,2026-03-07,Meta Ads,Mentorship VSL,Advertising,5645.82,54,6097,303
exp_1c3fa9ad050b,2026-03-09,Google Ads,High Intent Search,Advertising,4754.43,26,7016,189
exp_69eacc40650a,2026-03-08,Google Ads,Real Estate Mentorship,Advertising,2487.12,23,2925,133
exp_4c0d0ae9b651,2026-03-24,Organic,Organic Content,Creative Production,1927.15,67,4634,225
exp_869f097c4a5b,2026-03-08,Referral,Partner Referral,Contractor,1247.66,24,4892,131
exp_8961aa96130f,2026-03-20,Referral,Client Referral,Contractor,1311.48,22,5659,146
exp_c809511e122b,2026-03-31,Webinar,5-Day Investor Challenge,Creative Production,4130.24,44,5378,221
exp_e754c51769ac,2026-03-16,Webinar,VIP Webinar,Creative Production,2018.55,47,6456,289
exp_1d7426362fe0,2026-03-05,Email Campaign,Database Reactivation,Software,432.11,23,3382,164
exp_2c1aff6c946a,2026-03-17,Direct,Direct Traffic,Software,598.65,19,3907,115
exp_818c3d5f3044,2026-04-25,Meta Ads,Evergreen Wealth,Advertising,3926.64,48,6509,226
exp_cfe99a4775a6,2026-04-11,Meta Ads,Investor Calculator,Advertising,8331.86,47,6139,286
exp_d7f871319441,2026-04-29,Meta Ads,Mentorship VSL,Advertising,6263.08,47,8606,278
exp_924056480580,2026-04-25,Google Ads,High Intent Search,Advertising,3022.27,27,6430,182
