payment_id,sale_id,lead_id,payment_date,payment_type,payment_status,amount,payment_method,transaction_reference,installment_number
pay_fe30455c9d3b,sale_33a12f2ce5a6,lead_0675edea68ea,2026-03-14T10:46:27,Upfront,Succeeded,5000.0,Credit Card,txn_7708290cda30,1
pay_34436a24b73a,sale_7bb36b199fae,lead_7ce78c717015,2026-06-08T02:26:07,Upfront,Succeeded,375.0,Financing,txn_a414b2c28c34,1
pay_6b01516ba9ab,sale_fc161203a63a,lead_6d1c5379fefc,2026-05-10T05:14:12,Upfront,Failed,0.0,Credit Card,txn_fd062123a66d,1
pay_2ce696131e88,sale_a64aa4acbebf,lead_6f298ea66771,2026-04-08T18:21:47,Upfront,Pending,0.0,PayPal,txn_d7c17ee89134,1
pay_ce7ec3fa4472,sale_9dba6c284bae,lead_511bdbe3e7b0,2026-04-12T12:17:32,Upfront,Succeeded,5000.0,Credit Card,txn_a4078374f4fb,1
pay_c1c93afae902,sale_9dba6c284bae,lead_511bdbe3e7b0,2026-05-12T12:17:32,Recurring,Succeeded,5000.0,Credit Card,txn_dc7f4646b985,2
pay_647fdb2fd34a,sale_9a4117f8a8ed,lead_ba2db8a7b042,2026-04-01T04:44:23,Upfront,Succeeded,5000.0,Credit Card,txn_089628eadea5,1
pay_977e9a964e31,sale_9a4117f8a8ed,lead_ba2db8a7b042,2026-05-01T04:44:23,Recurring,Succeeded,5000.0,Credit Card,txn_4118f0595fba,2
pay_21efc27c563f,sale_aa8bec0390f6,lead_49b745f992ff,2026-03-03T22:17:08,Upfront,Succeeded,5000.0,Financing,txn_f6ced66f8dab,1
pay_797e2051c18f,sale_7c8e3eba4de7,lead_986f003ff784,2026-06-23T15:44:50,Upfront,Succeeded,5000.0,Credit Card,txn_d34ee5f1fda8,1
pay_07b829ffce63,sale_e0d3fa812ee5,lead_3bc8a16c6bfc,2026-04-12T05:44:05,Upfront,Succeeded,5000.0,Credit Card,txn_400c6c90af17,1
pay_615ef09cdbef,sale_f686f353292f,lead_7f93ea2edde1,2026-01-28T09:42:32,Upfront,Succeeded,4000.0,Credit Card,txn_995cc9cbc517,1
pay_60ced420cf58,sale_2ec08a5979d0,lead_2623d162ecb5,2026-03-25T21:35:59,Upfront,Pending,0.0,Credit Card,txn_55692a7a25b9,1
pay_dd03f2f000c1,sale_d87ea740bffd,lead_da1efd473d48,2026-03-14T07:01:30,Upfront,Succeeded,9750.0,Credit Card,txn_b2916c48cacb,1
